Cache Name,Mean Overhead (%),Min Overhead (%),Max Overhead (%)
kmalloc-128,18.518518518518512,18.518518518518512,18.518518518518512
kmalloc-16,100.0,100.0,100.0
kmalloc-192,0.0,0.0,0.0
kmalloc-1k,0.0,0.0,0.0
kmalloc-256,0.0,0.0,0.0
kmalloc-2k,0.0,0.0,0.0
kmalloc-32,100.0,100.0,100.0
kmalloc-4k,0.0,0.0,0.0
kmalloc-512,0.0,0.0,0.0
kmalloc-64,0.0,0.0,0.0
kmalloc-8,100.0,100.0,100.0
kmalloc-8k,0.0,0.0,0.0
kmalloc-96,0.0,0.0,0.0
kmalloc-rcl-128,100.0,100.0,100.0
kmalloc-rcl-16,100.0,100.0,100.0
kmalloc-rcl-192,0.0,0.0,0.0
kmalloc-rcl-256,100.0,100.0,100.0
kmalloc-rcl-32,100.0,100.0,100.0
kmalloc-rcl-64,100.0,100.0,100.0
kmalloc-rcl-96,100.0,100.0,100.0
kmem_cache,100.0,100.0,100.0
kmem_cache_node,100.0,100.0,100.0
