Kmalloc Time (s),Latency (µs),Bytes
45675.75517,-11410.999999498017,4096.0
45675.743519,248.99999698391184,32.0
45675.746013,14.999997802078724,96.0
45675.745579,1326.999998127576,416.0
45675.745579,1818.9999973401427,416.0
45675.745579,1964.9999958346598,416.0
45675.745579,2082.999999402091,416.0
45675.743519,6871.999998111278,32.0
45675.746013,4905.999994662125,96.0
45675.747295,4483.999997319188,24.0
45675.747499,4293.000005418435,24.0
45675.747598,4196.000001684297,24.0
45675.747598,6687.0000009657815,24.0
45675.75517,100.00000474974513,4096.0
45675.75517,176.00000137463212,4096.0
45675.75517,188.0000054370612,4096.0
45675.75517,194.0000001923181,4096.0
45675.75517,201.0000025620684,4096.0
45675.75517,959.0000045136549,4096.0
45675.75517,1000.0000038417056,4096.0
45675.75517,1009.0000068885274,4096.0
45675.75517,1017.0000023208559,4096.0
45675.754294,1926.0000044596381,64.0
45675.75432,1902.0000036107376,504.0
45675.754048,2175.999994506128,840.0
45675.745579,10728.00000110874,416.0
45675.895688,-139361.99999443488,152.0
45675.747598,16845.999998622574,24.0
45675.75517,11674.00000122143,4096.0
45675.75517,13183.000002754852,4096.0
45675.75517,13324.999999895226,4096.0
45675.75517,13394.00000142632,4096.0
45675.75517,13414.000000921078,4096.0
45675.746013,23900.999993202277,96.0
45675.75517,15128.000006370712,4096.0
45675.75517,15166.000004683156,4096.0
45675.75517,15183.000003162306,4096.0
45675.75517,15197.000000625849,4096.0
45675.746013,25457.9999964335,96.0
45675.75517,16713.00000452902,4096.0
45675.75517,16756.000004534144,4096.0
45675.75517,16771.000002336223,4096.0
45675.75517,16784.999999799766,4096.0
45675.746013,26694.99999319669,96.0
45675.75517,17911.00000264123,4096.0
45675.75517,17952.00000196928,4096.0
45675.75517,17968.000000109896,4096.0
45675.75517,17982.000004849397,4096.0
45675.746013,28216.999999131076,96.0
45675.75517,19402.000005356967,4096.0
45675.75517,19469.00000621099,4096.0
45675.75517,19514.000006893184,4096.0
45675.75517,19527.00000401819,4096.0
