Kmalloc Time (s),Latency (µs),Bytes
36713.663696,134.99999477062374,4096.0
36713.66368,155.00000154133886,32.0
36713.664877,19.999999494757503,96.0
36713.664877,3550.999994331505,96.0
36713.669702,62.99999949987978,28.0
36713.671091,12.00000406242907,4096.0
36713.671091,98.00000407267362,4096.0
36713.671091,113.00000187475234,4096.0
36713.671091,122.00000492157415,4096.0
36713.671091,136.0000023851171,4096.0
36713.671091,984.0000057010911,4096.0
36713.671091,1041.0000031697564,4096.0
36713.671091,1054.0000002947636,4096.0
36713.671091,1066.0000043571927,4096.0
36713.669771,2416.9999960577115,64.0
36713.669778,2411.9999943650328,504.0
36713.669683,2508.9999980991706,840.0
36713.66816,4142.999998293817,416.0
36713.861041,-188719.99999828404,152.0
36713.663696,19236.000000091735,4096.0
36713.663696,20983.999995223712,4096.0
36713.663696,21300.999993400183,4096.0
36713.663696,21405.999999842606,4096.0
36713.663696,21436.9999957853,4096.0
36713.664877,22289.000000455417,96.0
36713.663696,24273.999995784834,4096.0
36713.663696,24334.999994607642,4096.0
36713.663696,24362.999996810686,4096.0
36713.663696,24384.999996982515,4096.0
36713.664877,24552.99999564886,96.0
36713.663696,26721.999995061196,4096.0
36713.663696,26833.999996597413,4096.0
36713.663696,26868.99999389425,4096.0
36713.663696,26896.999996097293,4096.0
36713.664877,27053.999998315703,96.0
36713.663696,28788.999996322673,4096.0
36713.663696,28848.999994806945,4096.0
36713.663696,28875.999996671453,4096.0
36713.663696,28897.999996843282,4096.0
36713.664877,30073.999994783662,96.0
36713.663696,31814.999994821846,4096.0
36713.663696,32253.99999791989,4096.0
36713.663696,32340.99999826867,4096.0
36713.663696,32396.9999953988,4096.0
36713.663696,32416.99999489356,4096.0
36713.663696,35348.99999795016,4096.0
36713.663696,35421.99999355944,4096.0
36713.663696,35487.999994074926,4096.0
36713.663696,35514.99999593943,4096.0
36713.664877,34465.99999733735,96.0
36713.664877,35402.99999440322,96.0
36713.663696,38341.99999982957,4096.0
36713.663696,38403.99999899091,4096.0
36713.663696,38429.00000017835,4096.0
36713.663696,38455.9999947669,4096.0
36713.663696,39894.99999443069,4096.0
36713.663696,39971.99999867007,4096.0
36713.663696,40000.99999393569,4096.0
36713.663696,40189.99999971129,4096.0
36713.663696,40700.99999808008,4096.0
36713.663696,40763.99999757996,4096.0
36713.663696,40795.99999386119,4096.0
36713.663696,40823.99999606423,4096.0
36713.664877,41201.00000000093,96.0
36713.663696,42823.999996471684,4096.0
36713.663696,42906.99999546632,4096.0
36713.663696,42937.99999868497,4096.0
36713.663696,42970.99999530474,4096.0
36713.664877,42857.00000036741,96.0
36713.663696,44437.99999717157,4096.0
36713.663696,44491.99999362463,4096.0
36713.663696,44520.99999616621,4096.0
36713.663696,44545.99999735365,4096.0
36713.663696,46566.999997594394,4096.0
36713.663696,46653.999997943174,4096.0
36713.663696,46696.9999979483,4096.0
36713.663696,46720.9999987972,4096.0
36713.664877,45609.00000069523,96.0
36713.664877,46384.99999418855,96.0
36713.663696,48061.999994388316,4096.0
36713.663696,48114.999997778796,4096.0
36713.663696,48139.99999896623,4096.0
36713.663696,48163.99999981513,4096.0
36713.664877,47739.99999451917,96.0
36713.663696,49436.99999421369,4096.0
36713.663696,49558.99999913527,4096.0
36713.663696,49587.99999440089,4096.0
36713.663696,49612.999995588325,4096.0
36713.663696,50463.999999919906,4096.0
36713.663696,50565.999998070765,4096.0
36713.663696,50595.99999367492,4096.0
36713.663696,50630.99999824772,4096.0
36713.664877,50069.999997504056,96.0
36713.663696,51879.999999073334,4096.0
36713.663696,52050.99999875529,4096.0
36713.663696,52083.99999537505,4096.0
36713.663696,52112.99999791663,4096.0
36713.664877,51857.999998901505,96.0
36713.663696,53788.999997777864,4096.0
36713.663696,53839.00000015274,4096.0
36713.663696,53873.99999744957,4096.0
36713.663696,53895.9999976214,4096.0
36713.664877,53514.999999606516,96.0
36713.663696,55354.99999677995,4096.0
36713.663696,55411.99999424862,4096.0
36713.663696,55437.99999577459,4096.0
36713.663696,55459.99999594642,4096.0
36713.664877,55155.999994894955,96.0
36713.663696,57002.99999443814,4096.0
36713.663696,57091.99999546399,4096.0
36713.663696,57133.99999513058,4096.0
36713.663696,57174.99999445863,4096.0
36713.663696,58016.99999574339,4096.0
36713.663696,58135.99999964936,4096.0
36713.663696,58163.99999457644,4096.0
36713.663696,58188.99999576388,4096.0
36713.663696,58422.99999494571,4096.0
36713.663696,58511.999995971564,4096.0
36713.663696,58542.999999190215,4096.0
36713.663696,58567.000000039116,4096.0
36713.663696,58745.9999951534,4096.0
36713.663696,58804.999993299134,4096.0
36713.663696,58854.99999567401,4096.0
36713.663696,58890.0000002468,4096.0
36713.663696,59014.999998908024,4096.0
36713.663696,59055.999998236075,4096.0
36713.663696,59080.99999942351,4096.0
36713.663696,59257.99999386072,4096.0
36713.664877,58193.99999745656,96.0
36713.663696,60515.99999773316,4096.0
36713.663696,60599.999997066334,4096.0
36713.663696,60625.999998592306,4096.0
36713.663696,60648.99999910267,4096.0
36713.664877,59521.99999592267,96.0
36713.664877,60492.999997222796,96.0
36713.663696,62266.999993880745,4096.0
36713.663696,62324.9999989639,4096.0
36713.663696,62351.999993552454,4096.0
36713.663696,62397.99999457318,4096.0
36713.663696,68354.99999579042,4096.0
36713.663696,68607.99999412848,4096.0
36713.663696,69991.99999700068,4096.0
36713.663696,93962.99999934854,4096.0
36713.663696,95203.99999746587,4096.0
36713.663696,95411.99999512173,4096.0
36713.663696,95501.99999648612,4096.0
36713.663696,96373.00000031246,4096.0
36713.663696,96413.99999964051,4096.0
36713.663696,96584.99999932246,4096.0
36713.663696,103332.99999911105,4096.0
36713.663696,103438.99999861605,4096.0
36713.663696,103475.99999658996,4096.0
36713.663696,103532.99999405863,4096.0
36713.663696,103794.9999954435,4096.0
36713.663696,103979.99999986496,4096.0
36713.663696,104590.99999570753,4096.0
36713.663696,104639.99999774387,4096.0
36713.663696,104729.99999910826,4096.0
36713.663696,104975.99999507656,4096.0
36713.663696,105305.999997654,4096.0
36713.663696,105810.99999399157,4096.0
36713.663696,106844.99999479158,4096.0
36713.663696,106909.99999496853,4096.0
36713.663696,106940.99999818718,4096.0
36713.663696,185840.99999861792,4096.0
36713.663696,187446.99999660952,4096.0
36713.663696,197957.99999701558,4096.0
36713.861041,622.000006842427,152.0
36713.663696,198250.99999434315,4096.0
36713.861041,911.0000028158538,152.0
36713.910027,110.00000085914508,32.0
36713.669702,240480.00000038883,28.0
36713.910027,393.000002077315,32.0
36713.669702,240726.0000036331,28.0
36713.924573,17.00000575510785,7.0
36713.663696,261470.9999979823,4096.0
36713.910027,15144.000004511327,32.0
36713.671091,254176.00000218954,4096.0
36713.663696,262001.99999584584,4096.0
36713.910027,15675.000002374873,32.0
36713.671091,256302.00000159675,4096.0
36713.663696,263730.99999909755,4096.0
36713.910027,17414.000001735985,32.0
36713.910027,21029.000003181864,32.0
36713.861041,70564.00000146823,152.0
36713.663696,268238.99999726564,4096.0
36713.671091,260854.0000001085,4096.0
36713.932554,17.99999881768599,11.0
36713.924573,8609.000004071277,7.0
36713.932554,1813.0000025848858,11.0
36713.924573,10477.000003447756,7.0
36713.861041,74445.00000565313,152.0
36713.861041,76271.00000536302,152.0
36713.861041,76413.0000025034,152.0
36713.671091,280421.0000031162,4096.0
36713.671091,291468.0000030785,4096.0
36713.671091,291637.00000208337,4096.0
36713.671091,292331.00000419654,4096.0
36713.671091,292437.00000370154,4096.0
36713.671091,292869.00000442984,4096.0
36713.671091,292992.000002414,4096.0
36713.671091,293041.0000044503,4096.0
36713.671091,296576.0000006412,4096.0
36713.861041,106634.00000339607,152.0
36713.671091,297402.00000378536,4096.0
36713.861041,107457.0000055246,152.0
36713.671091,298021.0000023362,4096.0
36713.861041,108075.00000373693,152.0
36713.671091,298109.00000302354,4096.0
36713.861041,108162.00000408571,152.0
36713.671091,298214.00000219,4096.0
36713.861041,108267.00000325218,152.0
36713.671091,298384.0000015334,4096.0
36713.861041,108439.00000327267,152.0
36713.671091,298532.000000705,4096.0
36713.861041,108586.00000210572,152.0
36713.671091,298588.0000051111,4096.0
36713.861041,108641.00000617327,152.0
36713.671091,298780.00000462634,4096.0
36713.861041,108834.00000602705,152.0
36713.671091,298831.0000000638,4096.0
36713.861041,108884.00000112597,152.0
36713.671091,298894.00000683963,4096.0
36713.861041,108948.00000096438,152.0
36713.671091,298941.00000092294,4096.0
36713.861041,108994.00000198511,152.0
36713.671091,298989.00000262074,4096.0
36713.861041,109042.00000368292,152.0
36713.671091,299036.00000398,4096.0
36713.861041,109089.00000504218,152.0
36713.671091,299078.0000036466,4096.0
36713.861041,109131.00000470877,152.0
36713.671091,299136.0000014538,4096.0
36713.861041,109190.0000028545,152.0
36713.671091,299180.00000179745,4096.0
36713.861041,109233.00000285963,152.0
36713.671091,299227.0000031567,4096.0
36713.861041,109281.00000455743,152.0
36713.671091,299272.0000038389,4096.0
36713.861041,109326.00000523962,152.0
36713.671091,299319.0000051982,4096.0
36713.861041,109372.00000626035,152.0
36713.671091,299883.00000695745,4096.0
36713.671091,299937.0000034105,4096.0
36713.971996,105.99999950500205,112.0
36713.977542,73.00000288523734,11.0
36713.978159,37.999998312443495,11.0
36713.977542,1538.99999713758,11.0
36713.977542,3363.9999965089373,11.0
36713.977542,4626.00000173552,11.0
36713.977542,9020.999998028856,11.0
36713.977542,10077.999999339227,11.0
36713.992572,13.999997463542968,2048.0
36713.992561,33.00000389572233,4097.0
36713.977542,16386.999996029772,11.0
36713.992572,2644.000000145752,2048.0
36713.992561,2660.999998624902,4097.0
36713.671091,326417.00000385754,4096.0
36713.992572,5731.99999780627,2048.0
36713.992561,5750.000003899913,4097.0
36713.671091,328175.0000023749,4096.0
36714.002446,54.00000372901559,11.0
36713.671091,332321.0000016843,4096.0
36713.992572,11480.99999409169,2048.0
36713.992561,11497.999999846797,4097.0
36714.004203,337.0000049471855,48.0
36714.004187,356.00000410340726,32.0
36714.012073,23.00000051036477,11.0
36713.671091,341764.00000433205,4096.0
36714.014484,46.00000102072954,11.0
36714.014484,280.00000020256266,11.0
36713.671091,353591.00000641774,4096.0
36713.992572,37798.99999790359,2048.0
36713.992561,37817.00000399724,4097.0
36713.671091,363584.00000608526,4096.0
36713.671091,364342.0000007609,4096.0
36714.035372,65.00000017695129,32.0
36713.992572,49150.99999925587,2048.0
36713.992561,49167.99999773502,4097.0
36714.044374,56.0000044060871,11.0
36713.671091,373926.0000002105,4096.0
36714.044951,69.99999459367245,32.0
36714.005421,42721.999998320825,32.0
36714.004203,44014.00000642752,48.0
36714.004187,44032.99999830779,32.0
36714.051012,36.99999797390774,11.0
36714.051012,1193.9999967580661,11.0
36713.671091,383563.00000305055,4096.0
36714.044951,9706.99999743374,32.0
36714.001519,57417.00000362471,32.0
36714.005653,54869.999999937136,32.0
36713.998597,61983.99999993853,48.0
36713.998576,62008.00000078743,32.0
36714.044374,19784.00000371039,11.0
